batch_label,source_image,model,quantization,seed,steps,guidance,strength,detector,image_path,prediction,confidence,elapsed_time
sd15_fp8_s50_g3.5_str0.45,00000,sd15,fp8,123,50,3.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.45.png,fake,0.5577,0.171
sd15_fp8_s50_g3.5_str0.45,00000,sd15,fp8,123,50,3.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.45.png,real,0.2836636006832123,0.09752631187438965
sd15_fp16_s30_g3.5_str0.6,00000,sd15,fp16,123,30,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s30_g3.5_str0.6.png,fake,0.9984575510025024,0.062476158142089844
sd15_fp16_s30_g3.5_str0.6,00000,sd15,fp16,123,30,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s30_g3.5_str0.6.png,fake,0.5766,0.177
sd15_fp16_s30_g3.5_str0.6,00000,sd15,fp16,123,30,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s30_g3.5_str0.6.png,real,0.28858157992362976,0.08982634544372559
sd3_fp16_s30_g6.5_str0.6,00001,sd3,fp16,124,30,6.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g6.5_str0.6.png,fake,0.9184397459030151,0.061658382415771484
sd3_fp16_s30_g6.5_str0.6,00001,sd3,fp16,124,30,6.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g6.5_str0.6.png,real,0.3994,0.168
sd3_fp16_s30_g6.5_str0.6,00001,sd3,fp16,124,30,6.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g6.5_str0.6.png,fake,0.9969232678413391,0.0955660343170166
sd15_fp8_s30_g3.5_str0.6,00000,sd15,fp8,123,30,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g3.5_str0.6.png,fake,0.9981866478919983,0.060896873474121094
sd15_fp8_s30_g3.5_str0.6,00000,sd15,fp8,123,30,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g3.5_str0.6.png,fake,0.573,0.172
sd15_fp8_s30_g3.5_str0.6,00000,sd15,fp8,123,30,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g3.5_str0.6.png,real,0.20165473222732544,0.08807969093322754
sd15_fp4_s40_g6.5_str0.3,00001,sd15,fp4,124,40,6.5,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.3.png,fake,0.8953173756599426,0.06110572814941406
sd15_fp4_s40_g6.5_str0.3,00001,sd15,fp4,124,40,6.5,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.3.png,real,0.3729,0.173
sd15_fp4_s40_g6.5_str0.3,00001,sd15,fp4,124,40,6.5,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.3.png,fake,0.9698763489723206,0.09326386451721191
sd15_fp8_s40_g6.5_str0.45,00001,sd15,fp8,124,40,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.45.png,fake,0.9633131623268127,0.06607389450073242
sd15_fp8_s40_g6.5_str0.45,00001,sd15,fp8,124,40,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.45.png,real,0.3833,0.178
sd15_fp8_s40_g6.5_str0.45,00001,sd15,fp8,124,40,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.45.png,fake,0.9995864033699036,0.09875917434692383
sd3_fp16_s50_g6.5_str0.6,00001,sd3,fp16,124,50,6.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s50_g6.5_str0.6.png,fake,0.8674589395523071,0.06196928024291992
sd3_fp16_s50_g6.5_str0.6,00001,sd3,fp16,124,50,6.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s50_g6.5_str0.6.png,real,0.3803,0.174
sd3_fp16_s50_g6.5_str0.6,00001,sd3,fp16,124,50,6.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s50_g6.5_str0.6.png,fake,0.8074638843536377,0.08590531349182129
sd3_fp16_s40_g5.0_str0.3,00000,sd3,fp16,123,40,5.0,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s40_g5.0_str0.3.png,fake,0.9070212841033936,0.060706377029418945
sd3_fp16_s40_g5.0_str0.3,00000,sd3,fp16,123,40,5.0,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s40_g5.0_str0.3.png,real,0.4284,0.17
sd3_fp16_s40_g5.0_str0.3,00000,sd3,fp16,123,40,5.0,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s40_g5.0_str0.3.png,real,6.122238522756783e-15,0.0943150520324707
sd15_fp4_s40_g3.5_str0.6,00000,sd15,fp4,123,40,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g3.5_str0.6.png,fake,0.9976434111595154,0.0614171028137207
sd15_fp4_s40_g3.5_str0.6,00000,sd15,fp4,123,40,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g3.5_str0.6.png,fake,0.583,0.17
sd15_fp4_s40_g3.5_str0.6,00000,sd15,fp4,123,40,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g3.5_str0.6.png,real,0.40436890721321106,0.0894768238067627
sd15_fp16_s50_g5.0_str0.3,00000,sd15,fp16,123,50,5.0,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g5.0_str0.3.png,real,0.2466999888420105,0.0620722770690918
sd15_fp16_s50_g5.0_str0.3,00000,sd15,fp16,123,50,5.0,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g5.0_str0.3.png,fake,0.6137,0.173
sd15_fp16_s50_g5.0_str0.3,00000,sd15,fp16,123,50,5.0,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g5.0_str0.3.png,real,0.00025632759206928313,0.09152936935424805
sd15_fp16_s50_g3.5_str0.45,00000,sd15,fp16,123,50,3.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g3.5_str0.45.png,fake,0.9283645153045654,0.0610966682434082
sd15_fp16_s50_g3.5_str0.45,00000,sd15,fp16,123,50,3.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g3.5_str0.45.png,fake,0.5548,0.167
sd15_fp16_s50_g3.5_str0.45,00000,sd15,fp16,123,50,3.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g3.5_str0.45.png,real,0.33003583550453186,0.08806729316711426
sd15_fp4_s50_g5.0_str0.6,00001,sd15,fp4,124,50,5.0,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g5.0_str0.6.png,fake,0.9696817398071289,0.06408977508544922
sd15_fp4_s50_g5.0_str0.6,00001,sd15,fp4,124,50,5.0,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g5.0_str0.6.png,real,0.3563,0.194
sd15_fp4_s50_g5.0_str0.6,00001,sd15,fp4,124,50,5.0,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s50_g5.0_str0.6.png,fake,0.9976226687431335,0.0940544605255127
sd3_fp16_s50_g6.5_str0.45,00000,sd3,fp16,123,50,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g6.5_str0.45.png,fake,0.7585333585739136,0.06654667854309082
sd3_fp16_s50_g6.5_str0.45,00000,sd3,fp16,123,50,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g6.5_str0.45.png,real,0.4202,0.188
sd3_fp16_s50_g6.5_str0.45,00000,sd3,fp16,123,50,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s50_g6.5_str0.45.png,real,1.0715525688986816e-12,0.09453153610229492
sd15_fp8_s40_g6.5_str0.6,00001,sd15,fp8,124,40,6.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.6.png,fake,0.9839432239532471,0.06632804870605469
sd15_fp8_s40_g6.5_str0.6,00001,sd15,fp8,124,40,6.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.6.png,real,0.3623,0.177
sd15_fp8_s40_g6.5_str0.6,00001,sd15,fp8,124,40,6.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp8_seed124_s40_g6.5_str0.6.png,fake,0.9988151788711548,0.10126304626464844
sd15_fp8_s30_g6.5_str0.45,00000,sd15,fp8,123,30,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g6.5_str0.45.png,real,0.4816474914550781,0.06627941131591797
sd15_fp8_s30_g6.5_str0.45,00000,sd15,fp8,123,30,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g6.5_str0.45.png,fake,0.5739,0.198
sd15_fp8_s30_g6.5_str0.45,00000,sd15,fp8,123,30,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s30_g6.5_str0.45.png,real,0.1597733199596405,0.09750652313232422
sd3_fp8_s40_g5.0_str0.45,00001,sd3,fp8,124,40,5.0,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s40_g5.0_str0.45.png,real,0.0037950179539620876,0.06676650047302246
sd3_fp8_s40_g5.0_str0.45,00001,sd3,fp8,124,40,5.0,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s40_g5.0_str0.45.png,real,0.3674,0.215
sd3_fp8_s40_g5.0_str0.45,00001,sd3,fp8,124,40,5.0,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s40_g5.0_str0.45.png,fake,0.9600468277931213,0.0915372371673584
sd3_fp16_s40_g5.0_str0.6,00001,sd3,fp16,124,40,5.0,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s40_g5.0_str0.6.png,fake,0.6602996587753296,0.06950044631958008
sd3_fp16_s40_g5.0_str0.6,00001,sd3,fp16,124,40,5.0,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s40_g5.0_str0.6.png,real,0.3683,0.181
sd3_fp16_s40_g5.0_str0.6,00001,sd3,fp16,124,40,5.0,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s40_g5.0_str0.6.png,real,0.4745413661003113,0.09774589538574219
sd3_fp8_s30_g6.5_str0.45,00001,sd3,fp8,124,30,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s30_g6.5_str0.45.png,real,0.04142594709992409,0.0662682056427002
sd3_fp8_s30_g6.5_str0.45,00001,sd3,fp8,124,30,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s30_g6.5_str0.45.png,real,0.3704,0.177
sd3_fp8_s30_g6.5_str0.45,00001,sd3,fp8,124,30,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp8_seed124_s30_g6.5_str0.45.png,real,0.08703015744686127,0.09265708923339844
sd15_fp4_s40_g6.5_str0.45,00001,sd15,fp4,124,40,6.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.45.png,fake,0.9553136229515076,0.06743669509887695
sd15_fp4_s40_g6.5_str0.45,00001,sd15,fp4,124,40,6.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.45.png,real,0.3725,0.18
sd15_fp4_s40_g6.5_str0.45,00001,sd15,fp4,124,40,6.5,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g6.5_str0.45.png,fake,0.9971396923065186,0.10275983810424805
sd15_fp4_s50_g5.0_str0.3,00000,sd15,fp4,123,50,5.0,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s50_g5.0_str0.3.png,real,0.3244820833206177,0.0669851303100586
sd15_fp4_s50_g5.0_str0.3,00000,sd15,fp4,123,50,5.0,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s50_g5.0_str0.3.png,fake,0.6132,0.184
sd15_fp4_s50_g5.0_str0.3,00000,sd15,fp4,123,50,5.0,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s50_g5.0_str0.3.png,real,3.715448474395089e-05,0.09905242919921875
sd15_fp4_s40_g6.5_str0.3,00000,sd15,fp4,123,40,6.5,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g6.5_str0.3.png,real,0.239594504237175,0.06953239440917969
sd15_fp4_s40_g6.5_str0.3,00000,sd15,fp4,123,40,6.5,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g6.5_str0.3.png,fake,0.6118,0.177
sd15_fp4_s40_g6.5_str0.3,00000,sd15,fp4,123,40,6.5,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s40_g6.5_str0.3.png,real,0.00016624013369437307,0.1074824333190918
sd3_fp16_s30_g5.0_str0.6,00001,sd3,fp16,124,30,5.0,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g5.0_str0.6.png,real,0.16488543152809143,0.06271958351135254
sd3_fp16_s30_g5.0_str0.6,00001,sd3,fp16,124,30,5.0,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g5.0_str0.6.png,real,0.3836,0.171
sd3_fp16_s30_g5.0_str0.6,00001,sd3,fp16,124,30,5.0,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd3_fp16_seed124_s30_g5.0_str0.6.png,fake,0.9626486301422119,0.09403038024902344
sd3_fp16_s30_g5.0_str0.3,00000,sd3,fp16,123,30,5.0,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s30_g5.0_str0.3.png,fake,0.8710165619850159,0.06319618225097656
sd3_fp16_s30_g5.0_str0.3,00000,sd3,fp16,123,30,5.0,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s30_g5.0_str0.3.png,real,0.4349,0.177
sd3_fp16_s30_g5.0_str0.3,00000,sd3,fp16,123,30,5.0,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd3_fp16_seed123_s30_g5.0_str0.3.png,real,3.9041982588349086e-16,0.09564614295959473
sd15_fp4_s30_g5.0_str0.45,00000,sd15,fp4,123,30,5.0,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s30_g5.0_str0.45.png,fake,0.52208411693573,0.06166863441467285
sd15_fp4_s30_g5.0_str0.45,00000,sd15,fp4,123,30,5.0,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s30_g5.0_str0.45.png,fake,0.5798,0.182
sd15_fp4_s30_g5.0_str0.45,00000,sd15,fp4,123,30,5.0,0.45,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp4_seed123_s30_g5.0_str0.45.png,real,0.10137152671813965,0.0934762954711914
sd15_fp16_s50_g6.5_str0.6,00000,sd15,fp16,123,50,6.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g6.5_str0.6.png,fake,0.8764469027519226,0.06210947036743164
sd15_fp16_s50_g6.5_str0.6,00000,sd15,fp16,123,50,6.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g6.5_str0.6.png,fake,0.5619,0.17
sd15_fp16_s50_g6.5_str0.6,00000,sd15,fp16,123,50,6.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp16_seed123_s50_g6.5_str0.6.png,real,8.991618960862979e-05,0.09015178680419922
sd15_fp8_s50_g3.5_str0.6,00000,sd15,fp8,123,50,3.5,0.6,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.6.png,fake,0.9921126365661621,0.0618898868560791
sd15_fp8_s50_g3.5_str0.6,00000,sd15,fp8,123,50,3.5,0.6,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.6.png,fake,0.5564,0.166
sd15_fp8_s50_g3.5_str0.6,00000,sd15,fp8,123,50,3.5,0.6,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00000_sd15_fp8_seed123_s50_g3.5_str0.6.png,real,0.0021063056774437428,0.09201645851135254
sd15_fp4_s40_g5.0_str0.3,00001,sd15,fp4,124,40,5.0,0.3,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g5.0_str0.3.png,fake,0.8577717542648315,0.061440229415893555
sd15_fp4_s40_g5.0_str0.3,00001,sd15,fp4,124,40,5.0,0.3,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g5.0_str0.3.png,real,0.3686,0.167
sd15_fp4_s40_g5.0_str0.3,00001,sd15,fp4,124,40,5.0,0.3,NPR,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp4_seed124_s40_g5.0_str0.3.png,fake,0.9847207069396973,0.09171843528747559
sd15_fp16_s30_g3.5_str0.45,00001,sd15,fp16,124,30,3.5,0.45,CLIP-D,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp16_seed124_s30_g3.5_str0.45.png,fake,0.9369349479675293,0.0608673095703125
sd15_fp16_s30_g3.5_str0.45,00001,sd15,fp16,124,30,3.5,0.45,R50_TF,/media/SSD_4TB/crispy_storage/comparative_images_img2img/00001_sd15_fp16_seed124_s30_g3.5_str0.45.png,real,0.3731,0.173
